id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3
ENSG00000010318.14	143.66	238.65	159.87	131.05	110.82	195.01
ENSG00000010319.2	20	15	23	13	12	20
ENSG00000010322.11	2450	2925	2269	1921.02	1595.94	2780.08
ENSG00000010327.6	3.06	1.13	3.01	4	0	9.21
ENSG00000010361.9	720.67	655.54	559.26	583.55	374.52	728.53
ENSG00000010379.11	0	3	1	1	0	0
ENSG00000010404.13	7519.13	8138.63	5545.82	7669.43	5606.34	6957.44
ENSG00000010438.12	0	0	0	0	2	0
ENSG00000010539.7	715.01	846.89	835.64	703.14	569.89	800.07
ENSG00000010610.5	0	0	0	2	0	0
ENSG00000010626.10	233.46	232.01	171	181.24	120.73	214.13
ENSG00000010671.11	4	3	3	6	2	5
ENSG00000010704.14	188.88	192.84	142.91	148.76	118.89	180.61
ENSG00000010803.12	1094	1264	1075	840.99	583	872
ENSG00000010810.12	60	51	94	191	80	183
ENSG00000010818.4	1053	1198	883	1242	954	1331
ENSG00000010932.11	11.03	13.53	13.47	5.31	9.01	5
ENSG00000011007.7	4186.39	3872.5	3675.02	3766.45	2523.97	3610.47
ENSG00000011009.6	2175.63	2186.58	1964.12	1846	1187.52	2109.14
ENSG00000011021.17	806.96	993.79	747.67	673.58	473.18	833.99
ENSG00000011028.9	870	794	539	817	548	1077.13
ENSG00000011052.16	27615.65	20102.71	21375.42	26074.8	16673.88	23115.87
ENSG00000011083.4	0	0	0	0	0	0
ENSG00000011105.7	745	1025	638	442	371	624
ENSG00000011114.10	4792.93	5268.79	4594.69	5265.71	3906.37	5796.11
ENSG00000011132.7	282.71	332.67	291.95	266.56	220.9	383.83
ENSG00000011143.12	1849.96	2192.96	1793.91	1838	1498	2236.91
ENSG00000011198.3	1165	954	1134.59	1283.3	907.14	1323.81
ENSG00000011201.6	60	53	61	70	75	100
ENSG00000011243.12	2540.22	2974.48	2837.11	2540.03	1915.19	3392.95
ENSG00000011258.11	3237.52	3499.12	2836.37	3157.59	2459.16	3418.03
ENSG00000011260.9	5805.97	5659	6154.91	6253.94	4770.95	6438
ENSG00000011275.14	3605	3760.91	3351.33	3502.18	2568.54	3612.28
ENSG00000011295.11	2908.29	2776.34	2699.75	2721.18	2119.75	3056.03
ENSG00000011304.12	21201	23531	19335	19399	14902	21341
ENSG00000011332.15	215.43	274.25	249.73	200.85	130.33	301
ENSG00000011347.5	2009	1936	1826	1276	996	1788
ENSG00000011376.5	1127.08	1071.27	1086.6	1113.06	814.39	1164.7
ENSG00000011405.9	3643.79	3880.47	3739.74	3950.87	3263.15	4504.11
ENSG00000011422.7	132.82	126.05	130.38	153.34	87.01	134.98
ENSG00000011426.6	10667.65	16838.91	14356.63	9940	11459.74	12836.67
ENSG00000011451.12	2972.69	3094.99	3007	3131.39	2278	3741
ENSG00000011454.12	9523.14	12472.27	9962.71	9049.7	7816.71	11962.57
ENSG00000011465.12	12.71	15.26	11.56	8.6	6.63	11.64
ENSG00000011478.7	756.59	958.33	676.8	735.78	507.77	871.36
ENSG00000011485.10	4655.77	5086.47	4577.59	4442.59	3159.99	4900.49
ENSG00000011523.9	978.27	923.57	877.03	1165.59	786.32	1254.35
ENSG00000011566.9	2980	3158	3036	3455	2780	3623
ENSG00000011590.9	32	24	30	37	11	34
ENSG00000011600.7	0	0	0	0	0	0
ENSG00000011638.6	1476.43	1337.24	1264.82	1286.76	973.69	1481.63
ENSG00000011677.7	0	5	3	0	0	0
ENSG00000012048.15	5300.33	5620.32	4897.27	4621.47	4010.91	4952.73
ENSG00000012061.11	1443.34	1594.67	1303.87	983.86	815.03	1527.91
ENSG00000012124.10	203.47	73.98	85.96	350.39	120.24	338.36
ENSG00000012171.13	3463.48	1668.91	1686.44	3379.29	1447.42	2706.23
ENSG00000012174.7	1876.36	1847.79	1700.75	1915.86	1472.56	1802.48
ENSG00000012211.8	635.54	568.16	463.12	683.4	398.15	718.18
ENSG00000012223.8	0	0	0	0	1	0
ENSG00000012232.4	1685.87	1804.85	1755	1715.5	1123.39	1925.05
ENSG00000012504.9	0	0	0	0	0	0
ENSG00000012660.9	5495	5570	4952	6683	5096	6704
ENSG00000012779.6	6	5	13	35	11	60
ENSG00000012817.11	0	1	0	2.01	0	1.03
ENSG00000012822.11	1452.02	1851.03	1047.03	866	686.01	1527
ENSG00000012963.9	6249.59	6751.38	6255.13	6444.04	5297.57	7153.29
ENSG00000012983.7	2807.6	2872.04	2631.98	2759.51	2084.76	2862.74
ENSG00000013016.10	259.16	243.05	210	317	212.1	322.22
ENSG00000013275.3	8565.25	8774.93	7888.8	8865.91	6433.03	8181.22
ENSG00000013288.4	2382.21	2887.69	2195.64	2138.1	1660.39	2543.41
ENSG00000013293.4	4	9.32	10	6	5	10
ENSG00000013297.6	46.78	64.02	40.69	72.54	36.76	65.11
ENSG00000013306.11	10735.01	10197.52	9029.95	12089.14	7669.73	11940.79
ENSG00000013364.14	1206.11	1049.9	777.93	1204.02	596.06	1201.06
ENSG00000013374.11	2036.32	2133.24	2053.85	1854.02	1370.61	2163.17
ENSG00000013375.10	3102.74	3331.58	3033.77	3329.4	2583.32	3557.91
ENSG00000013392.6	618.47	592.97	557.57	588.03	384.28	762.06
ENSG00000013441.11	3217.09	3624.33	3048.41	2568.46	2292.71	3119.08
ENSG00000013503.5	1039.79	1049	1003	1188	824.91	1098.9
ENSG00000013523.5	2842	2661	2438	2865	2067	3105.03
ENSG00000013561.13	2861.51	2944.21	2946.06	2738.8	2302.46	2904.12
ENSG00000013563.8	2044.26	2292.04	1894.88	1679.24	1249.52	2330.45
ENSG00000013573.12	4638.54	4841.03	4130.17	4029.84	2775.48	4943.87
ENSG00000013583.4	1057.27	1405.94	1171.02	1190.81	992.93	1590.5
ENSG00000013588.5	10960.88	11158.64	9315.34	11802.12	8595.74	11007.29
ENSG00000013619.9	440	473	382	389	306	438
ENSG00000013725.10	8.74	1.04	7.71	7	3.17	7.26
ENSG00000013810.14	5308.2	8112.5	6469.61	5069.55	5072.16	6664.67
ENSG00000014123.9	3710	3799	3582	3867	3038	3802
ENSG00000014138.4	4266.1	4742.24	4241.06	3708.17	2869.5	4123.85
ENSG00000014164.6	1120	1271	1071	928	696	1158
ENSG00000014216.11	11811.18	12279.87	10288.96	11245.32	7199.52	12936.26
ENSG00000014257.11	111	195	102	76	78	100
ENSG00000014641.13	6137.27	6452.6	5689.58	6770.93	4821.09	6873.14
ENSG00000014824.8	2781	3023	2917	3528	2851	3775
ENSG00000014914.15	963	1067	591	917	737	1108
ENSG00000014919.8	2348.6	2355.34	2232	2433.82	1809.4	2678.48
ENSG00000015133.14	1443.34	1013.92	1131.09	1747.1	887.02	1239.15
ENSG00000015153.10	727.82	703.87	748.55	825.74	659.99	842.82
ENSG00000015171.14	10483	12429	11629	11544	9348	12670
ENSG00000015285.6	72	76.7	91.01	80.37	53.03	114
ENSG00000015413.5	3	2	2	1	0	1
ENSG00000015475.14	1912.66	1611.68	1894.11	1956.88	1391.21	2048.28
ENSG00000015479.13	22142.26	22607.39	20915.24	20819.69	17275.65	21751.83
ENSG00000015520.10	20	15	9	15	9.67	11
ENSG00000015532.5	2403.57	2723.4	2242.08	2019.14	1539.19	2553.78
ENSG00000015568.8	452.46	989.63	769.86	317.81	771.45	542.21
ENSG00000015592.12	2	1	2	0	1	1
ENSG00000015676.12	4884	5279	4340	4578	3149	4769
