id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest	pval	qval
ENSG00000112619	135.0	70.0	2.0	0.0	1.6843842101635272e-07	1.1042074266627567e-05
ENSG00000168356	897.0	183.0	9.0	0.0	1.7121895375682283e-07	1.1159095765197582e-05
ENSG00000089169	567.0	389.0	22.0	2.0	1.7720080585610627e-07	1.1413884326363906e-05
ENSG00000164199	3924.0	1510.0	95.0	211.0	1.7762128163123356e-07	1.1413884326363906e-05
ENSG00000164251	26.0	35.0	779.0	544.0	1.781828507683928e-07	1.1413884326363906e-05
ENSG00000197594	53.0	7.0	1938.0	866.0	1.827618178563561e-07	1.1593032626203821e-05
ENSG00000276289	8.0	5.0	156.0	613.0	1.8304788357163928e-07	1.1593032626203821e-05
ENSG00000117152	13.0	2.0	584.0	202.0	1.8416265280711868e-07	1.1598108640268542e-05
ENSG00000205111	846.0	954.0	50.0	8.0	1.9393965165490407e-07	1.2145606117606002e-05
ENSG00000140323	132.0	97.0	1.0	4.0	1.969288720887456e-07	1.2264292533971322e-05
ENSG00000139304	18032.0	16787.0	858.0	149.0	1.9887132973061466e-07	1.2316837603757958e-05
ENSG00000120256	1182.0	786.0	82.0	20.0	2.1390847503044595e-07	1.3175351676325819e-05
ENSG00000214357	405.0	194.0	26.0	13.0	2.1596246987032338e-07	1.3229176433040027e-05
ENSG00000130413	122.0	387.0	6.0	7.0	2.2219534041887847e-07	1.35370095983458e-05
ENSG00000196549	288.0	244.0	4682.0	3387.0	2.2488019854492585e-07	1.3626524463181724e-05
ENSG00000100604	225.0	56.0	3.0	1.0	2.2691771137613883e-07	1.3676062067346862e-05
ENSG00000164946	33.0	42.0	674.0	1988.0	2.2901774872897924e-07	1.372881798530405e-05
ENSG00000170264	397.0	262.0	33.0	14.0	2.473214569631762e-07	1.474719964126173e-05
ENSG00000182255	1014.0	1942.0	125.0	67.0	2.6507707633906466e-07	1.5722296432597432e-05
ENSG00000187902	7.0	7.0	176.0	320.0	2.790222188586436e-07	1.6462310912659973e-05
ENSG00000160716	168.0	120.0	3.0	7.0	2.9119039779458754e-07	1.7048454994483323e-05
ENSG00000183833	262.0	615.0	21.0	5.0	2.919985155165743e-07	1.7048454994483323e-05
ENSG00000135472	397.0	173.0	22.0	19.0	2.9742667922792265e-07	1.7275404529248772e-05
ENSG00000139988	269.0	133.0	6.0	12.0	2.992373103561327e-07	1.7290980665423953e-05
ENSG00000188779	95.0	421.0	5.0	2.0	3.0532853688400247e-07	1.7488950304794135e-05
ENSG00000157110	21.0	2.0	392.0	745.0	3.057836092542061e-07	1.7488950304794135e-05
ENSG00000114473	679.0	744.0	83.0	45.0	3.0964145201413427e-07	1.7619698868418504e-05
ENSG00000171345	6.0	1.0	132.0	293.0	3.251321955006951e-07	1.840773692708481e-05
ENSG00000137727	17.0	24.0	384.0	770.0	3.349612114783529e-07	1.8868920505891135e-05
ENSG00000169126	280.0	1021.0	19.0	4.0	3.4437273919578504e-07	1.9230255447421507e-05
ENSG00000166825	11.0	2.0	210.0	1409.0	3.4480654281282095e-07	1.9230255447421507e-05
ENSG00000102466	13.0	21.0	371.0	486.0	3.518749099744309e-07	1.952731554858104e-05
ENSG00000164061	277.0	151.0	12.0	2.0	3.588579706289444e-07	1.981673818103678e-05
ENSG00000166596	120.0	364.0	8.0	2.0	3.637053244214868e-07	1.9985964150808175e-05
ENSG00000142552	20.0	16.0	282.0	607.0	3.781042509668259e-07	2.0675847089454233e-05
ENSG00000128849	55.0	25.0	580.0	675.0	3.8977264282284225e-07	2.1175328002275575e-05
ENSG00000134250	127.0	130.0	1896.0	1835.0	3.910163154746694e-07	2.1175328002275575e-05
ENSG00000109819	29.0	24.0	443.0	419.0	4.039695595029562e-07	2.1771628663596822e-05
ENSG00000137558	23.0	3.0	1479.0	347.0	4.091677863685399e-07	2.1946272177948958e-05
ENSG00000196074	226.0	47.0	2.0	2.0	4.4405747831995836e-07	2.370421110460349e-05
ENSG00000163995	231.0	154.0	15.0	9.0	4.6399619178897876e-07	2.465117208509219e-05
ENSG00000182853	0.0	0.0	82.0	67.0	6.019062483361757e-07	3.1827212470983636e-05
ENSG00000088727	300.0	571.0	27.0	33.0	6.404145696101596e-07	3.36874593040442e-05
ENSG00000187498	56.0	36.0	558.0	885.0	6.43096903752494e-07	3.36874593040442e-05
ENSG00000084453	20.0	18.0	278.0	724.0	6.527126864126499e-07	3.4032135882259555e-05
ENSG00000198189	12.0	14.0	334.0	246.0	6.951645176094919e-07	3.6077751122233354e-05
ENSG00000172005	17.0	35.0	765.0	545.0	7.19155440417086e-07	3.707186703535439e-05
ENSG00000152503	6352.0	5300.0	271.0	32.0	7.209337211157233e-07	3.707186703535439e-05
ENSG00000174343	171.0	54.0	3.0	0.0	7.256089862266009e-07	3.7141902902283995e-05
ENSG00000120729	150.0	40.0	1.0	0.0	7.339899761536804e-07	3.740012560310344e-05
ENSG00000133069	645.0	365.0	52.0	58.0	7.485961327229183e-07	3.797177668698604e-05
ENSG00000185974	655.0	122.0	13.0	2.0	7.623335676502584e-07	3.849441123134864e-05
ENSG00000004776	14.0	10.0	200.0	390.0	8.021346910441163e-07	4.032255554531186e-05
ENSG00000137573	174.0	120.0	4344.0	1461.0	8.103302304808809e-07	4.055268698076194e-05
ENSG00000181234	155.0	66.0	3935.0	1176.0	8.326644660468721e-07	4.148519406393527e-05
ENSG00000145824	251.0	515.0	18.0	28.0	8.504122405306517e-07	4.218195228472835e-05
ENSG00000135362	4.0	8.0	187.0	265.0	9.069198652224114e-07	4.4786659423538466e-05
ENSG00000049089	167.0	76.0	1385.0	1813.0	9.713938118686918e-07	4.776019575021068e-05
ENSG00000147257	28.0	82.0	1682.0	1792.0	9.888412532890112e-07	4.840572248633108e-05
ENSG00000113389	6.0	4.0	109.0	717.0	1.0080729305918026e-06	4.913259805188743e-05
ENSG00000215218	137.0	115.0	4.0	7.0	1.0195373032069867e-06	4.9476247484633425e-05
ENSG00000266964	2.0	1.0	78.0	141.0	1.0349642350775507e-06	5.000840118629028e-05
ENSG00000124813	0.0	0.0	69.0	71.0	1.044101663759245e-06	5.0233389058974834e-05
ENSG00000155085	275.0	263.0	11.0	0.0	1.1102459190247855e-06	5.318742201823865e-05
ENSG00000253368	351.0	141.0	14.0	20.0	1.1253044193187289e-06	5.35292073965808e-05
ENSG00000175048	9.0	2.0	275.0	132.0	1.13296671806534e-06	5.35292073965808e-05
