ensgeneid	sym	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000018509	Cenpv	33	10	5	25
ENSMUSG00000018574	Acadvl	7	0	17	33
ENSMUSG00000018599	Smcr7	7	5	7	33
ENSMUSG00000019088	Dnase1l1	3	0	33	29
ENSMUSG00000021185	9030617O03Rik	4	33	15	25
ENSMUSG00000023806	Rsph3b	2	33	0	21
ENSMUSG00000024235	Map3k8	5	15	11	33
ENSMUSG00000025243	Slc6a20b	33	19	8	4
ENSMUSG00000025825	Iscu	6	6	13	33
ENSMUSG00000025955	Akr1cl	14	33	1	5
ENSMUSG00000026307	Scly	29	33	16	21
ENSMUSG00000026791	Slc2a8	9	7	0	33
ENSMUSG00000026824	Kcnj3	0	33	0	18
ENSMUSG00000027868	Tbx15	19	6	6	33
ENSMUSG00000028378	Ptgr1	15	9	33	15
ENSMUSG00000030793	Pycard	13	6	18	33
ENSMUSG00000030979	Uros	33	22	29	21
ENSMUSG00000031659	Adcy7	33	26	3	15
ENSMUSG00000032114	Slc37a4	33	23	15	22
ENSMUSG00000032834	Pwp2	22	3	11	33
ENSMUSG00000033852	Pla2g4b	24	17	15	33
ENSMUSG00000034040	Wbscr17	6	33	0	12
ENSMUSG00000034311	Kif4	1	0	17	33
ENSMUSG00000036552	2210404J11Rik	20	26	25	33
ENSMUSG00000038167	Plekhg6	2	0	7	33
ENSMUSG00000040046	Tph1	33	1	0	3
ENSMUSG00000040714	Klc3	6	9	17	33
ENSMUSG00000040723	Rcsd1	3	0	33	5
ENSMUSG00000041623	D11Wsu47e	20	19	17	33
ENSMUSG00000042404	Dennd4b	17	33	13	31
ENSMUSG00000045664	Cdc42ep2	33	16	22	30
ENSMUSG00000050188	Lsm10	2	11	32	33
ENSMUSG00000050541	Adra1b	0	0	18	33
ENSMUSG00000051518	Rps19bp1	22	10	16	33
ENSMUSG00000051851	Cxx1c	22	12	4	33
ENSMUSG00000053693	Mast1	33	24	3	22
ENSMUSG00000054662	Ano9	5	0	11	33
ENSMUSG00000057219	Armc7	13	4	16	33
ENSMUSG00000059406	Tmprss9	0	6	2	33
ENSMUSG00000060224	Pyroxd2	33	9	4	27
ENSMUSG00000061584	Lyg2	6	33	0	0
ENSMUSG00000064132	na	25	15	33	21
ENSMUSG00000068614	Actc1	4	33	2	0
ENSMUSG00000070699	Sars2	33	11	0	28
ENSMUSG00000071653	1810009A15Rik	15	7	20	33
ENSMUSG00000073442	na	30	33	28	19
ENSMUSG00000073600	Gm1614	3	6	1	33
ENSMUSG00000074046	na	0	4	0	33
ENSMUSG00000078496	Gm13152	8	14	33	18
ENSMUSG00000083338	Gm12475	7	1	33	3
ENSMUSG00000084230	Gm14388	4	19	13	33
ENSMUSG00000085030	2810455O05Rik	18	15	33	27
ENSMUSG00000086468	2900053O20Rik	4	5	29	33
ENSMUSG00000087138	Gm15545	33	12	18	23
ENSMUSG00000088873	na	33	0	1	0
ENSMUSG00000090093	Gm14399	11	33	18	21
ENSMUSG00000090399	Nav1	2	0	0	33
ENSMUSG00000091363	Gm7701	33	5	15	13
ENSMUSG00000091639	Gm3756	0	3	0	33
ENSMUSG00000091764	Zfp964	11	4	33	15
ENSMUSG00000001750	Tcirg1	12	6	14	34
ENSMUSG00000006143	2310043J07Rik	0	0	5	34
ENSMUSG00000017801	Mlx	27	25	34	33
ENSMUSG00000018774	Cd68	1	4	6	34
ENSMUSG00000019194	Scn1b	34	0	5	0
ENSMUSG00000019933	2310015B20Rik	34	13	3	3
ENSMUSG00000020333	Acsl6	34	24	21	12
ENSMUSG00000020357	Flt4	34	34	1	1
ENSMUSG00000020526	Znhit3	18	15	18	34
ENSMUSG00000021367	Edn1	34	6	18	20
ENSMUSG00000022537	Tmem44	19	7	34	25
ENSMUSG00000024019	Ftsjd2	21	34	12	21
ENSMUSG00000024446	Rpp21	15	19	11	34
ENSMUSG00000024660	Incenp	8	0	34	24
ENSMUSG00000024883	Rin1	34	10	3	7
ENSMUSG00000025371	Chmp6	4	1	17	34
ENSMUSG00000025723	Nmb	34	7	17	25
ENSMUSG00000025978	Rftn2	2	1	0	34
ENSMUSG00000026779	Mastl	20	24	32	34
ENSMUSG00000028369	Svep1	0	2	5	34
ENSMUSG00000028949	Smarcd3	0	0	19	34
ENSMUSG00000029401	Rilpl2	13	5	30	34
ENSMUSG00000030714	Ccdc101	9	4	5	34
ENSMUSG00000030780	BC017158	11	4	15	34
ENSMUSG00000030966	Trim21	13	6	21	34
ENSMUSG00000031816	Mthfsd	11	15	10	34
ENSMUSG00000031986	Gm505	11	5	10	34
ENSMUSG00000032305	2310046O06Rik	31	17	34	12
ENSMUSG00000032338	Hcn4	3	34	4	10
ENSMUSG00000032420	Nt5e	2	0	34	30
ENSMUSG00000032754	Slc24a6	6	0	16	34
ENSMUSG00000033554	Dph5	28	7	34	26
ENSMUSG00000034023	Fancd2	11	34	26	18
ENSMUSG00000035047	Kri1	34	10	25	22
ENSMUSG00000035239	Neu3	31	2	34	7
ENSMUSG00000035273	Hpse	4	9	1	34
ENSMUSG00000035399	3230401D17Rik	15	13	25	34
ENSMUSG00000035818	9930023K05Rik	4	24	16	34
ENSMUSG00000036114	2810432D09Rik	7	12	34	23
ENSMUSG00000037405	Icam1	0	0	2	34
ENSMUSG00000037418	Best1	6	22	2	34
ENSMUSG00000037752	Xkr8	34	11	1	13
ENSMUSG00000039860	Srrm3	34	33	1	0
ENSMUSG00000040564	Apoc1	1	0	15	34
ENSMUSG00000041263	Rusc1	4	5	20	34
ENSMUSG00000041323	Ak7	5	34	1	0
ENSMUSG00000042496	Prdm10	18	13	13	34
ENSMUSG00000043993	2900052L18Rik	4	34	12	11
ENSMUSG00000044770	Scml4	1	34	15	4
ENSMUSG00000044957	4921523A10Rik	11	34	0	12
ENSMUSG00000046480	Scn4b	0	0	34	0
ENSMUSG00000047649	Cd3eap	20	11	34	16
ENSMUSG00000047757	Fancb	34	17	5	3
ENSMUSG00000049530	Clrn2	19	34	1	1
ENSMUSG00000051124	Gimap9	34	2	33	0
ENSMUSG00000053399	Adamts18	21	0	26	34
ENSMUSG00000055305	Zfp93	10	7	31	34
ENSMUSG00000055401	Fbxo6	6	1	16	34
ENSMUSG00000056148	Rdh9	26	12	34	15
ENSMUSG00000058064	Gm10036	4	1	15	34
ENSMUSG00000058833	2810428I15Rik	21	7	17	34
ENSMUSG00000059895	Ptp4a3	9	8	34	17
ENSMUSG00000060032	H2afj	30	21	25	34
ENSMUSG00000060121	Sip1	12	13	33	34
ENSMUSG00000063393	na	3	22	34	16
ENSMUSG00000070997	1700055D18Rik	34	33	27	26
ENSMUSG00000073207	Ccdc160	13	34	17	7
ENSMUSG00000073802	Cdkn2b	13	4	34	4
ENSMUSG00000075304	Sp5	19	6	10	34
ENSMUSG00000081389	Gm13368	28	0	34	0
ENSMUSG00000081402	Gm15455	3	17	9	34
ENSMUSG00000081651	Gm15530	20	2	34	10
ENSMUSG00000081890	Gm11243	34	19	7	4
ENSMUSG00000083864	Gm13719	28	0	34	15
ENSMUSG00000084113	Gm14277	7	10	30	34
ENSMUSG00000085041	BB031773	32	34	2	0
ENSMUSG00000085229	Gm11672	18	15	34	8
ENSMUSG00000085655	Gm15952	34	4	0	6
ENSMUSG00000085704	4921531C22Rik	26	4	34	18
ENSMUSG00000086350	B230369F24Rik	34	11	12	14
ENSMUSG00000089832	Shkbp1	8	1	11	34
ENSMUSG00000090559	Gm17137	4	34	6	12
ENSMUSG00000091641	na	21	34	21	15
ENSMUSG00000092117	na	11	34	16	12
ENSMUSG00000002661	Alkbh7	3	3	10	35
ENSMUSG00000004341	Gpx6	0	1	1	35
ENSMUSG00000005547	Cyp2a5	0	35	1	1
ENSMUSG00000006442	Srm	7	13	16	35
ENSMUSG00000013523	Bcas1	2	0	24	35
ENSMUSG00000016024	Lbp	0	0	7	35
ENSMUSG00000018570	2810408A11Rik	9	11	23	35
ENSMUSG00000020219	Timm13	7	12	4	35
ENSMUSG00000020652	Cenpo	35	15	18	24
ENSMUSG00000020829	Slc46a1	2	8	34	35
ENSMUSG00000020876	Snx11	31	20	35	23
ENSMUSG00000021456	Fbp2	2	8	35	28
ENSMUSG00000022022	Mtrf1	26	11	35	4
ENSMUSG00000022033	Pbk	0	0	10	35
ENSMUSG00000022160	Mettl3	35	30	27	35
ENSMUSG00000022288	4930447A16Rik	0	35	0	1
ENSMUSG00000022394	L3mbtl2	13	5	15	35
ENSMUSG00000023707	Ogfod2	28	18	35	32
ENSMUSG00000023911	Flywch2	9	28	34	35
ENSMUSG00000024352	Spata24	35	6	18	20
ENSMUSG00000024792	Zfpl1	9	7	22	35
ENSMUSG00000026077	Npas2	0	7	3	35
ENSMUSG00000026198	Abcb6	35	25	6	15
ENSMUSG00000026492	Tfb2m	27	25	12	35
ENSMUSG00000028107	Tars2	35	7	12	27
ENSMUSG00000028453	Fancg	30	22	30	35
ENSMUSG00000029406	Pitpnm2	3	16	35	30
ENSMUSG00000031323	Dmrtc1a	3	2	35	23
ENSMUSG00000032175	Tyk2	6	14	4	35
ENSMUSG00000032513	Gorasp1	16	35	20	35
ENSMUSG00000032661	Oas3	0	15	35	6
ENSMUSG00000033819	Ppp1r16a	25	15	4	35
ENSMUSG00000034664	Itga2b	1	7	4	35
ENSMUSG00000035278	Plekhj1	25	1	6	35
ENSMUSG00000035559	Mpv17l2	8	3	13	35
ENSMUSG00000038379	Ttk	4	1	4	35
ENSMUSG00000039452	Snx22	35	21	9	18
ENSMUSG00000039994	Timeless	35	0	7	11
ENSMUSG00000040350	Trim7	0	3	11	35
ENSMUSG00000040482	Dom3z	6	7	25	35
ENSMUSG00000040618	Pck2	10	5	25	35
ENSMUSG00000040972	Igsf21	16	35	0	0
ENSMUSG00000044645	Gm7334	18	35	16	34
ENSMUSG00000045160	Bola3	30	35	33	28
ENSMUSG00000050908	Fam18a	35	15	18	20
ENSMUSG00000051403	Ppp1r37	31	17	23	35
ENSMUSG00000055172	C1ra	0	0	35	12
ENSMUSG00000057863	Rpl36	12	13	19	35
ENSMUSG00000058174	Gm5148	35	2	22	15
ENSMUSG00000058486	Wdr91	12	15	12	35
ENSMUSG00000059040	Gm5506	0	4	0	35
ENSMUSG00000060647	Gm7099	7	7	35	13
ENSMUSG00000062151	Unc13c	0	2	35	9
ENSMUSG00000063236	1110038F14Rik	34	15	35	34
ENSMUSG00000063698	Sfxn4	35	35	16	6
ENSMUSG00000064030	Wibg	15	4	35	24
ENSMUSG00000064065	Ipcef1	5	13	34	35
ENSMUSG00000066307	na	0	10	35	19
ENSMUSG00000069733	Ube2u	35	16	3	0
ENSMUSG00000069743	Zfp820	6	0	35	7
ENSMUSG00000070337	Gpr179	10	19	35	29
ENSMUSG00000074141	Il4i1	22	12	28	35
ENSMUSG00000074662	Gm10737	35	15	30	5
ENSMUSG00000075217	4833423E24Rik	0	0	35	14
ENSMUSG00000079022	Col22a1	20	0	35	5
ENSMUSG00000082192	Gm14719	0	2	0	35
ENSMUSG00000082953	Gm13217	22	18	35	32
ENSMUSG00000084817	Gm5526	0	35	1	12
ENSMUSG00000085246	Gm15893	35	8	8	16
ENSMUSG00000085492	Trmt61b	19	27	12	35
ENSMUSG00000086343	na	35	9	17	0
ENSMUSG00000086393	na	34	9	35	18
