ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
FLJ39095	0.05	0.05	0.05	0.05	0.05	0.05
FLJ39739	0.05	0.05	0.05	0.05	0.05	0.05
FLJ40194	0.05	0.05	0.05	0.05	0.05	0.05
FLJ40288	0.05	0.05	0.05	0.05	0.05	0.05
FLJ40448	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41200	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41278	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41309	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41423	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41481	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41733	0.05	0.05	0.05	0.05	0.05	0.05
FLJ41941	0.05	0.05	0.05	0.05	0.05	0.05
FLJ42102	0.05	0.05	0.05	0.05	0.05	0.05
FLJ42351	0.05	0.05	0.05	0.05	0.05	0.05
FLJ42393	0.05	0.05	0.05	0.05	0.05	0.05
FLJ42627	0.05	0.05	0.05	0.05	0.05	0.05
FLJ42842	0.05	0.05	0.05	0.05	0.05	0.05
FLJ42969	0.05	0.05	0.05	0.05	0.05	0.05
FLJ43585	0.05	0.05	0.05	0.05	0.05	0.05
FLJ43879	0.05	0.05	0.05	0.05	0.05	0.05
FLJ44006	0.05	0.05	0.05	0.05	0.05	0.05
FLJ44255	0.05	0.05	0.05	0.05	0.05	0.05
FLJ44313	0.05	1	1	1	1	0.05
FLJ44342	0.05	0.05	0.05	0.05	0.05	0.05
FLJ44511	0.05	0.05	0.05	0.05	0.05	0.05
FLJ44635	253	348	355	223	226	236
FLJ44790	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45079	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45256	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45513	4	0.05	1	4	6	6
FLJ45743	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45825	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45872	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45964	0.05	0.05	0.05	0.05	0.05	0.05
FLJ45974	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46026	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46066	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46134	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46284	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46300	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46320	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46363	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46836	0.05	0.05	0.05	0.05	0.05	0.05
FLJ46906	0.05	0.05	0.05	0.05	0.05	0.05
FLNA	40119	39128	47959	16651	16682	14752
FLNB	18538	20021	20864	4095	3412	3582
FLNC	8121	7325	7888	1751	2098	1900
FLOT1	487	456	452	953	1168	1135
FLOT2	747	672	804	836	715	769
FLRT1	2	1	2	24	10	16
FLRT2	2348	2127	1947	156	75	74
FLRT3	457	301	458	59	10	12
FLT1	458	82	79	1198	1142	1265
FLT3	1	2	1	75	38	43
FLT3LG	0.05	1	3	10	3	6
FLT4	4	2	2	61	55	50
FLVCR1	206	194	172	647	765	632
FLVCR1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FLVCR2	39	32	26	82	63	63
FLYWCH1	235	202	198	199	237	227
FLYWCH2	98	81	120	111	107	131
FMN1	52	22	30	27	21	14
FMN2	35	23	33	37	35	26
FMNL1	32	23	19	82	100	109
FMNL2	1143	1114	899	1760	1220	1228
FMNL3	315	278	365	444	460	476
FMO1	33	1	2	4	1	11
FMO2	0.05	1	1	0.05	1	0.05
FMO3	0.05	0.05	0.05	0.05	0.05	0.05
FMO4	30	13	14	25	35	36
FMO5	7	9	7	2	1	0.05
FMOD	623	6	1	0.05	0.05	0.05
FMR1	947	970	982	1005	875	846
FMR1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FMR1NB	0.05	0.05	0.05	0.05	0.05	0.05
FN1	177052	178697	170272	645	481	383
FN3K	39	54	57	103	101	130
FN3KRP	238	194	222	329	325	272
FNBP1	477	480	531	701	549	523
FNBP1L	2368	2621	2759	3763	2878	3104
FNBP4	572	516	533	1156	1112	969
