ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
TCF19	161	156	139	381	408	383
TCF20	504	489	614	1316	1134	1099
TCF21	21	1	0.05	0.05	0.05	0.05
TCF23	0.05	0.05	0.05	0.05	0.05	0.05
TCF24	0.05	0.05	0.05	2	0.05	1
TCF25	1001	1027	1213	846	855	811
TCFL5	206	173	171	305	281	235
TCHH	13	4	5	14	6	9
TCHHL1	1	0.05	2	0.05	0.05	0.05
TCHP	202	135	138	145	97	108
TCIRG1	558	362	503	117	115	83
TCL1A	0.05	0.05	0.05	12	24	29
TCL1B	4	2	1	4	8	7
TCL6	0.05	0.05	0.05	0.05	0.05	0.05
TCN1	0.05	0.05	0.05	0.05	0.05	0.05
TCN2	67	63	63	628	459	580
TCOF1	1017	1002	1306	3330	3545	3098
TCONS_00024492	0.05	0.05	0.05	0.05	0.05	0.05
TCP1	1948	2107	2224	4445	5003	4595
TCP10	0.05	0.05	0.05	1	1	1
TCP10L	1	0.05	6	45	14	28
TCP10L2	0.05	0.05	0.05	1	0.05	2
TCP11	0.05	0.05	0.05	2	1	3
TCP11L1	291	289	365	191	163	134
TCP11L2	52	68	47	86	63	47
TCP11X1	0.05	0.05	0.05	0.05	0.05	0.05
TCP11X2	0.05	0.05	0.05	0.05	0.05	2
TCTA	172	159	171	235	218	224
TCTE1	0.05	2	2	3	5	0.05
TCTE3	2	0.05	0.05	1	3	0.05
TCTEX1D1	0.05	0.05	0.05	1	2	2
TCTEX1D2	59	64	87	108	105	105
TCTEX1D4	11	10	6	0.05	0.05	1
TCTN1	210	159	167	129	101	98
TCTN2	144	108	128	102	114	94
TCTN3	685	762	650	594	524	542
TDG	765	838	823	924	955	862
TDGF1	1	0.05	3	2959	4192	4554
TDO2	10	0.05	2	0.05	0.05	0.05
TDP1	165	178	197	624	502	499
TDP2	306	324	339	916	978	973
TDRD1	3	4	2	7	11	6
TDRD3	207	216	200	273	307	254
TDRD5	8	1	9	13	5	10
TDRD6	1	2	1	17	8	4
TDRD7	235	277	249	76	50	57
TDRD9	0.05	0.05	0.05	0.05	1	0.05
TDRD10	0.05	0.05	0.05	1	2	2
TDRD12	0.05	0.05	0.05	4	4	1
TDRG1	0.05	0.05	0.05	0.05	0.05	0.05
TDRKH	54	49	71	247	249	253
TDRP	935	951	1072	984	1026	956
TEAD1	3214	3408	3665	973	795	696
TEAD2	630	555	648	1664	1103	1330
TEAD3	1315	1302	1546	291	382	338
TEAD4	126	159	175	299	374	326
TEC	9	7	11	24	32	24
TECPR1	269	231	293	213	211	173
TECPR2	427	408	493	365	359	274
TECR	278	195	273	411	407	458
TECRL	13	0.05	1	0.05	0.05	0.05
TECTA	16	12	11	29	32	47
TECTB	0.05	0.05	0.05	0.05	0.05	0.05
TEDDM1	0.05	0.05	0.05	1	0.05	1
TEF	110	133	167	97	45	88
TEFM	76	83	84	193	194	178
TEK	45	7	2	77	61	66
TEKT1	0.05	0.05	0.05	0.05	0.05	0.05
TEKT2	5	5	1	6	3	1
TEKT3	1	0.05	5	4	4	1
TEKT4	0.05	0.05	1	0.05	0.05	0.05
TEKT5	1	0.05	3	2	1	1
TELO2	310	237	299	743	779	772
TEN1	125	126	133	141	141	134
TEN1-CDK3	0.05	0.05	0.05	0.05	0.05	0.05
TENC1	44	62	73	25	24	13
TENM1	5	2	1	48	53	42
TENM2	1598	1091	1193	10	13	9
TENM3	6941	5226	6518	1036	1111	1083
TENM4	116	25	53	200	71	101
TEP1	644	598	675	266	248	272
TEPP	1	1	1	0.05	2	3
TERC	0.05	0.05	0.05	0.05	0.05	0.05
TERF1	234	219	241	6318	6025	6774
TERF2	251	275	313	373	392	398
TERF2IP	619	567	612	303	316	294
TERT	0.05	1	0.05	79	82	59
TES	3867	4490	4492	283	395	347
TESC	2	0.05	1	40	47	71
TESK1	489	413	531	151	213	201
TESK2	29	28	22	142	104	131
TESPA1	0.05	1	1	1	0.05	0.05
TET1	122	98	133	1177	797	805
TET2	233	202	218	159	78	90
TET3	582	538	666	635	452	429
TEX2	4517	5075	5658	317	263	266
TEX9	34	32	34	107	95	93
TEX10	297	287	328	1556	1601	1414
TEX11	0.05	0.05	1	4	6	5
TEX12	0.05	0.05	0.05	1	2	1
TEX13A	0.05	0.05	0.05	0.05	0.05	0.05
TEX13B	1	0.05	0.05	1	3	5
TEX14	4	2	0.05	4	19	10
TEX15	4	2	2	153	76	82
TEX19	2	1	3	1	8	8
TEX22	4	3	3	8	5	8
TEX26	0.05	1	2	1	0.05	2
TEX26-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TEX28	0.05	0.05	0.05	0.05	0.05	0.05
TEX29	4	0.05	1	0.05	0.05	0.05
TEX30	88	59	57	92	89	87
TEX33	0.05	0.05	0.05	0.05	0.05	0.05
TEX35	0.05	0.05	0.05	0.05	0.05	0.05
TEX36	0.05	0.05	0.05	0.05	0.05	0.05
TEX37	0.05	0.05	0.05	2	1	0.05
TEX38	0.05	0.05	0.05	0.05	0.05	1
TEX40	0.05	0.05	0.05	0.05	2	0.05
TEX41	0.05	0.05	0.05	0.05	0.05	0.05
TEX101	0.05	0.05	0.05	0.05	0.05	2
TEX261	705	647	650	376	372	380
TEX264	200	208	222	87	108	93
TF	6	3	4	12	3	2
TFAM	496	468	485	1645	1537	1459
TFAP2A	1079	923	932	376	13	33
TFAP2A-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TFAP2B	280	191	353	0.05	0.05	2
TFAP2C	382	437	416	758	413	491
TFAP2D	0.05	0.05	0.05	0.05	0.05	0.05
TFAP2E	39	44	76	3	3	0.05
TFAP4	26	17	19	334	314	317
TFB1M	290	217	259	343	343	336
TFB2M	157	141	148	313	307	270
TFCP2	415	396	395	1013	1085	947
TFCP2L1	10	14	13	70	67	46
TFDP1	681	600	675	1610	1351	1374
TFDP2	252	228	207	1702	1235	1445
TFDP3	0.05	0.05	0.05	0.05	1	0.05
TFE3	549	567	645	1106	1525	1512
TFEB	59	56	57	42	65	66
TFEC	2	4	3	0.05	0.05	2
TFF1	0.05	0.05	0.05	0.05	0.05	0.05
TFF2	0.05	0.05	0.05	0.05	0.05	0.05
TFF3	0.05	0.05	0.05	0.05	0.05	0.05
TFG	1602	1624	1730	1455	1571	1411
TFIP11	390	382	417	457	537	475
TFPI	708	372	406	50	18	21
TFPI2	1949	2599	2727	47	79	76
TFPT	107	97	85	153	208	160
TFR2	6	0.05	1	20	18	25
TFRC	833	513	587	1860	1462	1409
TG	7	10	4	1	1	1
TGDS	144	146	140	202	184	158
TGFA	87	103	79	17	22	27
TGFB1	1206	818	1038	72	187	112
TGFB1I1	892	838	1009	38	33	32
TGFB2	8455	7953	7486	20	3	5
TGFB3	108	73	101	9	2	4
TGFBI	20287	29535	33098	84	77	47
TGFBR1	3804	4594	5121	1143	747	860
TGFBR2	580	563	574	41	47	43
TGFBR3	157	40	44	105	48	77
TGFBR3L	1	7	1	7	11	17
TGFBRAP1	185	214	230	241	231	228
TGIF1	614	634	686	894	1072	1054
TGIF2	271.071	196	264	638	482	470.714
TGIF2-C20orf24	2.929	0.05	0.05	0.05	0.05	3.286
TGIF2LX	0.05	0.05	0.05	0.05	0.05	0.05
TGIF2LY	0.05	0.05	0.05	0.05	0.05	0.05
TGM1	52	71	71	12	14	5
TGM2	19185	21365	21117	39	10	8
TGM3	0.05	1	0.05	2	0.05	0.05
TGM4	3	2	2	1	1	0.05
TGM5	0.05	0.05	0.05	0.05	0.05	0.05
TGM6	0.05	0.05	0.05	0.05	0.05	0.05
TGM7	0.05	0.05	0.05	0.05	0.05	0.05
TGOLN2	2467	2450	2719	1031	852	854
TGS1	274	236	282	1143	1102	1032
TH	0.05	0.05	0.05	1	2	0.05
THADA	365	377	373	694	661	574
THAP1	105	115	104	170	219	191
THAP2	66	84	67	57	53	64
THAP3	245	221	274	593	713	726
THAP4	258	252	341	592	702	612
THAP5	260	294	284	328	251	252
THAP6	182	168	171	112	81	84
THAP7	76	49	71	110	137	119
THAP7-AS1	0.05	0.05	0.05	0.05	0.05	0.05
THAP8	44	43	50	83	134	108
THAP9	95	73	76	334	262	258
THAP9-AS1	0.05	0.05	0.05	0.05	0.05	0.05
THAP10	23	30	20	74	82	76
THAP11	164	130	169	447	443	416
THBD	753	535	605	3	3	1
THBS1	15347	19846	24763	244	270	185
THBS2	1898	1920	1692	320	372	316
THBS3	1413	1101	1147	131	127	123
THBS4	6	2	2	221	182	159
THEG	0.05	0.05	0.05	0.05	0.05	0.05
THEG5	0.05	0.05	0.05	0.05	0.05	0.05
THEGL	0.05	0.05	0.05	1	0.05	0.05
THEM4	88	48	73	51	166	95
THEM5	7	6	6	4	6	2
THEM6	83	76	54	30	17	24
THEMIS	0.05	1	0.05	0.05	0.05	0.05
THEMIS2	4	3	6	79	80	87
THG1L	70	73	91	154	157	165
THNSL1	49	70	88	281	173	232
THNSL2	35	54	56	54	47	23
THOC1	298	267	306	1104	917	917
THOC2	821	860	973	1441	1174	1154
THOC3	279	308	306	775	860	787
THOC5	269	269	279	638	679	578
THOC6	125	104	128	484	627	552
THOC7	377	388	426	661	696	690
THOP1	330	279	336	766	803	803
THPO	1	0.05	1	7	6	6
THRA	81	78	78	107	82	88
THRAP3	1696	1537	1803	4048	3721	3818
THRB	533	618	743	458	273	263
THRB-AS1	0.05	0.05	0.05	0.05	0.05	0.05
THRSP	1	0.05	2	0.05	0.05	0.05
THSD1	14	5	7	8	11	10
THSD4	1197	1208	1529	156	86	102
THSD7A	52	34	27	229	183	220
THSD7B	9	3	7	14	14	10
THTPA	44	49	57	184	177	211
THUMPD1	507	545	521	1346	1149	1192
THUMPD2	88	84	86	267	254	233
THUMPD3	414	433	418	1046	958	925
THY1	418	238	353	544	757	694
THYN1	146	146	133	704	806	851
TIA1	1547	1423	1427	2512	1683	1995
TIAF1	106.584	75.521	93.396	163.42	158.696	167.747
TIAL1	1077	999	1051	1455	1532	1386
TIAM1	305	343	360	489	257	342
TIAM2	323	285	425	88	153	87
TICAM1	128	108	115	10	7	5
TICAM2	150	76.667	78	15.167	24.833	14
TICRR	84	57	80	628	671	653
TIE1	8	2	1	21	24	12
TIFA	42	15	30	24	19	22
TIFAB	1	0.05	0.05	0.05	0.05	0.05
TIGD1	45	43	41	125	122	117
TIGD2	143	147	137	165	124	134
TIGD3	2	2	2	5	8	6
TIGD4	5	3	1	52	31	33
TIGD5	123	87	116	84	105	92
TIGD6	104	87	99	81	71	53
TIGD7	71	49	54	240	187	210
TIGIT	0.05	0.05	0.05	2	1	1
TIMD4	0.05	0.05	0.05	0.05	0.05	0.05
TIMELESS	385	327	389	2361	1986	1948
TIMM8A	36	60	45	189	264	253
TIMM8B	139	137	160	362	343	342
TIMM9	155	138	162	343	332	344
TIMM10	66	85	79	240	293	280
TIMM10B	326	266	288	410	371	383
TIMM13	260	262	277	772	920	987
TIMM17A	729	792	805	591	698	632
TIMM17B	232	262	277	362	384	405
TIMM21	199	151	156	353	360	374
TIMM22	201	217	232	380	393	401
TIMM23	547	517	560	874	1027	940
TIMM23B	157	156	175	220	229	236
TIMM44	245	242	284	806	1286	1147
TIMM50	324	314	326	839	1048	990
TIMMDC1	509	483	514	830	785	776
TIMP1	768	529	560	299	328	347
TIMP2	3105	3087	2677	776	472	563
TIMP3	12328	16315	12844	40	55	46
TIMP4	2	1	0.05	12	33	28
TINAG	0.05	0.05	0.05	0.05	0.05	0.05
TINAGL1	4650	4558	4895	41	50	36
TINCR	0.05	0.05	0.05	0.05	0.05	0.05
TINF2	388	408	449	291	327	309
TIPARP	346	419	302	101	134	118
TIPARP-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TIPIN	70	50	66	220	200	213
TIPRL	620	725	697	546	635	548
TIRAP	76	78	86	54	81	70
TJAP1	221	214	264	356	425	394
TJP1	2996	3388	3861	3676	3261	3232
TJP2	3219	4470	5373	2159	1850	1770
TJP3	47	54	68	404	293	361
TK1	158	126	157	581	455	505
TK2	156	198	187	54	59	81
TKT	3526	3529	3831	7471	9122	9099
TKTL1	0.05	0.05	0.05	1	3	1
TKTL2	0.05	0.05	0.05	0.05	0.05	0.05
TLCD1	53	86	99	82	118	126
TLCD2	120	140	141	75	43	68
TLDC1	564	530	569	361	308	341
TLDC2	0.05	2	0.05	22	23	35
TLE1	604	569	782	535	519	491
TLE2	14	8	6	43	57	70
TLE3	472	267	308	1453	1016	1209
TLE4	840	833	955	654	472	490
TLE6	0.05	0.05	0.05	7	8	14
TLK1	665	638	766	1575	1468	1409
TLK2	292	272	395	669	695	653
TLL1	32	22	22	2	4	4
TLL2	8	6	8	9	20	23
TLN1	5595	5426	6429	2568	2287	2224
TLN2	1939	2326	3091	681	589	555
TLR1	7	11	9	0.05	0.05	1
TLR2	14	4	10	5	10	9
TLR3	43	32	63	20	3	13
TLR4	12	6	3	1	0.05	1
TLR5	28	20	40	30	23	14
TLR6	68	70	95	3	0.05	2
TLR7	5	5	2	1	0.05	0.05
TLR8	0.05	0.05	0.05	0.05	0.05	0.05
TLR8-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TLR9	3	2	3	1	0.05	0.05
TLR10	0.05	0.05	0.05	0.05	0.05	1
TLX1	0.05	0.05	0.05	0.05	0.05	0.05
TLX1NB	0.05	0.05	0.05	0.05	0.05	0.05
TLX2	0.05	0.05	0.05	1	1	6
TLX3	1	1	0.05	1	2	1
TM2D1	179	196	227	67	79	77
TM2D2	615	580	640	540	508	473
TM2D3	224	212	229	216	192	219
TM4SF1	87	71	84	4	0.05	3
TM4SF1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TM4SF4	0.05	0.05	0.05	0.05	1	0.05
TM4SF5	0.05	0.05	0.05	0.05	0.05	0.05
TM4SF18	0.05	0.05	0.05	10	12	23
TM4SF19	1	0.05	0.05	0.05	2	1
TM4SF19-TCTEX1D2	0.05	0.05	0.05	0.05	0.05	0.05
TM4SF20	0.05	0.05	0.05	0.05	1	0.05
TM6SF1	24	28	30	43	43	32
TM6SF2	6	5	6	20	12	11
TM7SF2	200	195	282	324	349	347
TM7SF3	945	939	967	785	711	686
TM9SF1	660	634	728	320	409	337
TM9SF2	4277	4273	4443	2675	2579	2514
TM9SF3	4652	4671	4767	3257	2836	2869
TM9SF4	1269	1046	1281	926	836	861
TMA7	498	488	485	745	789	901
TMA16	202	207	200	630	545	506
TMBIM1	1350	1353	1580	227	193	220
TMBIM4	531	455	513	271	232	250
TMBIM6	7547	7613	8233	5232	5043	4957
TMC1	0.05	0.05	0.05	19	7	7
TMC2	0.05	0.05	0.05	0.05	1	0.05
TMC3	2	0.05	1	4	3	0.05
TMC4	55	75	105	58	64	36
TMC5	1	0.05	0.05	29	38	26
TMC6	281	331	371	231	236	252
TMC7	147	113	79	125	103	83
TMC8	2	3	4	5	7	2
TMCC1	631	649	628	510	476	413
TMCC2	112	76	81	129	122	123
TMCC3	97	83	100	44	71	74
TMCO1	1283	1249	1240	934	819	810
TMCO2	0.05	0.05	0.05	0.05	0.05	1
TMCO3	2276	2346	2562	460	419	464
TMCO4	48	71	59	78	53	72
TMCO5A	0.05	0.05	0.05	0.05	0.05	0.05
TMCO6	36	33	35	171	132	130
TMED1	241	213	266	211	218	206
TMED2	4552	4869	5073	2880	2821	2903
TMED3	1289	1309	1425	442	394	389
TMED4	755	749	850	621	636	593
TMED5	2045	2294	2254	901	813	807
TMED6	4	2	2	7	1	6
TMED7	2487	2510	2651	1054	958	924
TMED7-TICAM2	0.05	73.333	76	13.833	24.167	14
TMED8	110	122	104	231	181	176
TMED9	3511	3294	3815	1507	1668	1625
TMED10	4454	4679	4709	2581	2447	2418
TMEFF1	264.333	218.167	243.333	1709.167	805.083	982.167
TMEFF2	11	2	5	10	9	9
TMEM2	10092	9923	11737	2258	1138	1259
TMEM5	149	169	154	94	129	86
TMEM8A	839	841	857	725	941	822
TMEM8B	123	108	133	101	127	95
TMEM8C	0.05	0.05	0.05	0.05	0.05	0.05
TMEM9	845	753	879	665	750	750
TMEM9B	469	506	569	195	252	209
TMEM9B-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM11	154	158	187	225	270	270
TMEM14A	164	163	153	79	68	81
TMEM14B	242	223	249	580	599	609
TMEM14C	683	830	891	979	967	1001
TMEM14E	2	0.05	0.05	0.05	0.05	0.05
TMEM17	44	33	49	29	27	22
TMEM18	161	155	174	212	206	216
TMEM19	477	442	423	164	158	155
TMEM25	337	342	372	144	128	138
TMEM26	1	0.05	0.05	3	9	7
TMEM27	52	49	57	54	41	39
TMEM30A	4791	5041	5182	1567	1501	1519
TMEM30B	325	432	503	221	257	194
TMEM31	3	1	1	2	4	6
TMEM33	744	638	720	1070	1007	952
TMEM35	4	2	1	116	87	109
TMEM37	15	5	9	41	70	54
TMEM38A	4	3	5	28	23	27
TMEM38B	77	75	77	200	137	187
TMEM39A	654	654	679	514	364	385
TMEM39B	105	100	109	121	124	142
TMEM40	290	498	362	0.05	1	0.05
TMEM41A	245	228	246	196	200	233
TMEM41B	533	521	569	550	454	478
TMEM42	46	67	44	97	84	88
TMEM43	1597	1495	1556	861	876	785
TMEM44	91	82	80	98	57	97
TMEM44-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM45A	370	316	397	123	134	123
TMEM45B	1	2	2	1	4	0.05
TMEM47	848	734	718	1089	773	816
TMEM50A	1249	1183	1315	1050	931	921
TMEM50B	311	336	336	207	172	184
TMEM51	305	150	266	471	294	343
TMEM51-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM52	2	2	1	17	34	19
TMEM52B	42	29	12	0.05	0.05	0.05
TMEM53	37	30	41	25	38	38
TMEM54	159	182	195	86	36	42
TMEM55A	155	162	202	266	254	271
TMEM55B	183	206	195	258	307	308
TMEM56	172.136	211.289	269.3	47.272	51.145	41.591
TMEM56-RWDD3	60.864	62.711	89.7	66.728	67.855	58.409
TMEM57	703	706	785	425	391	377
TMEM59	1754	1714	1804	1066	950	1057
TMEM59L	21	13	8	49	63	42
TMEM60	110	111	115	168	146	193
TMEM61	3	2	2	2	5	3
TMEM62	210	234	239	39	34	33
TMEM63A	158	148	171	180	176	213
TMEM63B	614	622	634	602	501	515
TMEM63C	120	108	119	51	40	28
TMEM64	324	263	318	1370	1074	1189
TMEM65	352	337	408	188	180	166
TMEM66	2603	2490	2515	1556	1499	1567
TMEM67	86	65	75	153	140	143
TMEM68	294	293	312	276	252	202
TMEM69	246	199	243	550	530	554
TMEM70	175	172	173	323	305	342
TMEM71	0.05	2	2	0.05	1	0.05
TMEM72	0.05	0.05	0.05	0.05	1	0.05
TMEM72-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM74	3	2	2	34	31	25
TMEM74B	8	3	4	13	11	20
TMEM75	0.05	0.05	0.05	0.05	0.05	0.05
TMEM79	68	49	56	29	29	23
TMEM80	58	57	71	69	63	83
TMEM81	18	14	23	24	15	19
TMEM82	0.05	0.05	0.05	8	6	8
TMEM86A	49	36	37	49	34	45
TMEM86B	16	20	15	32	18	21
TMEM87A	804	857	933	718	763	730
TMEM87B	1097	1085	1091	311	283	252
TMEM88	83	32	28	19	14	10
TMEM88B	3	0.05	0.05	10	0.05	6
TMEM89	0.05	0.05	0.05	1	0.05	0.05
TMEM91	20	14	10	16	26	33
TMEM92	88	100	91	83	68	101
TMEM95	0.05	0.05	0.05	0.05	0.05	0.05
TMEM97	340	366	441	1078	860	866
TMEM98	814	616	682	397	295	375
TMEM99	70	56	63	117	111	132
TMEM100	36	6	22	7	1	5
TMEM101	139	112	164	127	119	128
TMEM102	124	141	136	69	83	71
TMEM104	292	269	330	268	225	267
TMEM105	4	6	10	0.05	0.05	0.05
TMEM106A	94	102	141	24	27	25
TMEM106B	1086	1077	1112	1012	751	788
TMEM106C	450	549	668	200	236	224
TMEM107	42	30	26	41	47	50
TMEM108	52	30	35	86	116	98
TMEM109	712	547	668	179	164	161
TMEM110	335	324	382	346	290	267
TMEM110-MUSTN1	0.05	2	0.05	0.05	0.05	0.05
TMEM114	0.05	0.05	0.05	1	0.05	1
TMEM115	524	448	494	332	361	372
TMEM116	37	39	41	99	111	87
TMEM117	224	260	236	9	19	18
TMEM119	8	3	0.05	2	0.05	0.05
TMEM120A	204	152	183	137	141	126
TMEM120B	357	288	297	458	385	423
TMEM121	4	0.05	0.05	0.05	0.05	0.05
TMEM123	2447	2428	2486	810	681	681
TMEM125	45	50	58	125	156	151
TMEM126A	115	119	117	265	324	295
TMEM126B	157	203	228	755	815	764
TMEM127	827	687	764	442	459	437
TMEM128	259	249	274	243	302	239
TMEM129	312	283	345	291	356	329
TMEM130	52	36	30	3	9	17
TMEM131	1198	1085	1152	1187	995	1001
TMEM132A	1090	1028	1171	498	364	411
TMEM132B	28	14	23	902	646	766
TMEM132C	13	0.05	0.05	5	4	1
TMEM132D	5	0.05	0.05	191	137	174
TMEM132E	1	1	3	7	11	8
TMEM133	112	102	110	173	169	172
TMEM134	132	130	164	130	182	166
TMEM135	229	231	261	418	506	472
TMEM136	229	159	197	184	137	161
TMEM138	136	146	157	150	171	167
TMEM139	44	37	29	13	11	12
TMEM140	106	107	118	149	170	150
TMEM141	202	191	254	352	419	349
TMEM143	36	37	49	119	120	104
TMEM144	127	81	108	57	66	42
TMEM145	0.05	0.05	4	15	34	43
TMEM147	478	467	492	654	784	748
TMEM150A	107	81	93	161	228	223
TMEM150B	2	0.05	2	4	2	3
TMEM150C	19	20	31	54	34	34
TMEM151A	8	0.05	0.05	10	15	15
TMEM151B	0.05	1	0.05	71	76	73
TMEM154	95	106	129	31	39	27
TMEM155	0.05	0.05	1	8	14	2
TMEM156	1	0.05	0.05	0.05	0.05	0.05
TMEM158	177	208	343	194	140	201
TMEM159	183	137	137	133	109	113
TMEM160	91	86	92	181	219	212
TMEM161A	105	109	103	229	235	227
TMEM161B	101	119	128	210	204	196
TMEM161B-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM163	1	1	1	5	14	2
TMEM164	484.5	402.5	504.233	467.3	367.433	366.4
TMEM165	1510	1529	1624	916	849	850
TMEM167A	2248	2434	2429	3487	3341	3592
TMEM167B	631	640	633	404	366	441
TMEM168	556	570	633	251	242	221
TMEM169	8	9	3	38	26	35
TMEM170A	237	306	307	585	424	435
TMEM170B	69	84	74	120	85	89
TMEM171	6	4	6	6	1	6
TMEM173	25	11	11	6	4	5
TMEM174	2	0.05	0.05	0.05	0.05	0.05
TMEM175	119	86	112	56	55	50
TMEM176A	61	69	179	1	2	2
TMEM176B	55	70	157	2	1	3
TMEM177	60	46	57	238	248	231
TMEM178A	97	75	97	19	13	22
TMEM178B	22	18	13	358	255	249
TMEM179	0.05	0.05	0.05	21	17	11
TMEM179B	254.256	223	246.616	168	173.894	164
TMEM180	7	16	5	129	153	139
TMEM181	996	1003	1016	684	513	507
TMEM182	36	58	45	44	45	43
TMEM183A	298	312	341	722	707	679
TMEM183B	238	247	276	739	743	731
TMEM184A	61	35	56	16	9	11
TMEM184B	1143	944	1176	780	773	788
TMEM184C	473	480	504	587	455	440
TMEM185A	155	135	144	125	74	89
TMEM185B	705	600	637	398	276	264
TMEM186	72	47	86	116	86	118
TMEM187	91	67	80	43	30	38
TMEM189	616.333	583.5	573.083	356.167	372.083	340.667
TMEM189-UBE2V1	140.409	48.5	177.751	193.143	203.917	25.333
TMEM190	8	3	4	11	3	3
TMEM191B	8	8	15	12	11	13
TMEM191C	6	3	9	9	6	7
TMEM192	243	304	275	206	209	197
TMEM194A	342	266	307	1310	1068	1069
TMEM194B	81	70	88	57	60	56
TMEM196	0.05	0.05	0.05	0.05	1	1
TMEM198	58	57	64	63	87	77
TMEM199	134	157	166	232	258	232
TMEM200A	198	134	204	231	255	222
TMEM200B	87	60	112	24	33	32
TMEM200C	434	351	395	200	138	152
TMEM201	137	106	113	245	241	257
TMEM202	0.05	0.05	0.05	0.05	0.05	0.05
TMEM203	301	269	316	349	360	370
TMEM204	8	1	4	1	1	1
TMEM205	229	163	212	344	362	332
TMEM206	163	135	154	151	180	171
TMEM207	0.05	0.05	0.05	0.05	0.05	0.05
TMEM208	201	198	237	210	217	227
TMEM209	283	229	250	480	428	385
TMEM210	0.05	0.05	0.05	0.05	0.05	0.05
TMEM211	0.05	0.05	0.05	0.05	0.05	0.05
TMEM212	0.05	0.05	0.05	0.05	1	0.05
TMEM213	0.05	0.05	0.05	4	1	2
TMEM214	1317	1204	1359	630	665	658
TMEM215	68	33	29	1	2	1
TMEM216	87	83	96	117	125	120
TMEM217	25	23	16	9	12	15
TMEM218	93	82	90	202	180	184
TMEM219	346	352	386	299	328	319
TMEM220	34	23	29	54	62	46
TMEM220-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM221	6	4	14	28	9	29
TMEM222	222	180	254	178	163	156
TMEM223	49	61	69	132	153	149
TMEM225	0.05	0.05	0.05	0.05	0.05	0.05
TMEM229A	4	0.05	0.05	3	1	0.05
TMEM229B	5	2	3	2	8	3
TMEM230	798	803	869	943	915	947
TMEM231	93	71	84	77	78	71
TMEM232	1	4	2	3	16	12
TMEM233	0.05	0.05	0.05	0.05	0.05	0.05
TMEM234	145	108	133	69	130	97
TMEM235	1	0.05	1	0.05	0.05	0.05
TMEM236	10	9	7	1	1	0.05
TMEM237	514	461	514	537	452	466
TMEM238	11	4	9	10	8	9
TMEM239	0.05	0.05	0.05	0.05	0.05	0.05
TMEM240	9	8	9	16	13	15
TMEM241	61	77	55	119	92	84
TMEM242	216	187	226	194	198	176
TMEM243	208	164	170	69	61	79
TMEM244	0.05	0.05	0.05	0.05	0.05	0.05
TMEM245	1766	1865	1964	1316	965	947
TMEM246	18	20	9	234	250	254
TMEM247	0.05	0.05	0.05	0.05	0.05	0.05
TMEM248	1198	1103	1241	864	743	779
TMEM249	2	12.015	7.198	8.128	3	5.445
TMEM251	68	60	64	125	124	131
TMEM252	1	0.05	0.05	0.05	0.05	0.05
TMEM253	13	5	8	16	36	24
TMEM254	363	267	299	372	355	343
TMEM254-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMEM255A	28	13	5	5	7	5
TMEM255B	18	20	13	22	14	17
TMEM256	128	115	131	328	316	332
TMEM257	0.05	0.05	0.05	0.05	1	0.05
TMEM258	313	274	337	444	540	562
TMEM259	1366	1141	1437	1241	1482	1309
TMEM260	320	370	391	375	242	265
TMF1	1027	1054	980	528	487	459
TMIE	1	6	0.05	7	6	9
TMIGD1	0.05	0.05	0.05	0.05	0.05	0.05
TMIGD2	0.05	0.05	0.05	1	5	1
TMLHE	95	104	110	176	127	152
TMLHE-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMOD1	203	144	161	274	220	237
TMOD2	287	418	383	244	151	169
TMOD3	1292	1482	1352	618	586	517
TMOD4	2	2	1	0.05	1	2
TMPO	1135	1049	1086	4418	3608	3601
TMPO-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMPPE	965.8	924	1118.35	413.8	400.4	215.895
TMPRSS2	6	2	3	572	483	438
TMPRSS3	4	0.05	0.05	5	7	8
TMPRSS4	2	0.05	2	3	0.05	3
TMPRSS4-AS1	0.05	0.05	0.05	0.05	0.05	0.05
TMPRSS5	1	1	2	4	2	4
TMPRSS6	2	0.05	1	5	3	1
TMPRSS7	0.05	0.05	0.05	1	0.05	0.05
TMPRSS9	4	2	3	4	7	5
TMPRSS11A	5	4	2	0.05	0.05	0.05
TMPRSS11B	2	2	0.05	0.05	0.05	0.05
TMPRSS11BNL	0.05	0.05	0.05	0.05	0.05	0.05
TMPRSS11D	0.05	0.05	0.05	0.05	0.05	0.05
TMPRSS11E	6	8	8	32	43	39
TMPRSS11F	8	11	13	0.05	0.05	0.05
TMPRSS12	1	1	2	0.05	0.05	0.05
