id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3	pval	qval
ENSG00000185010	32.0	30.0	34.0	146.0	96.0	83.0	5.2091928781736975e-06	1.5039008494274965e-05
ENSG00000109111	1315.0	1360.0	1525.0	2633.0	2646.0	2321.0	5.209299524512972e-06	1.5039008494274965e-05
ENSG00000162595	6.0	9.0	8.0	0.05	0.05	2.0	5.209512004035553e-06	1.5039008494274965e-05
ENSG00000140538	12.0	10.0	9.0	37.0	42.0	43.0	5.262891741357808e-06	1.519114463241061e-05
ENSG00000152495	33.0	30.0	31.0	85.0	103.0	85.0	5.2782751991157744e-06	1.5233580766452307e-05
ENSG00000171357	4.0	5.0	4.0	23.0	22.0	32.0	5.282146257129045e-06	1.524278440186761e-05
ENSG00000268043	319.0	296.0	346.0	331.0	255.0	271.0	5.3335168136694285e-06	1.5389038119441022e-05
ENSG00000166448	52.0	36.0	30.0	3.0	9.0	17.0	5.378278154134419e-06	1.5516186665432723e-05
ENSG00000089335	296.0	253.0	268.0	551.0	507.0	488.0	5.387062041007204e-06	1.5539521805910416e-05
ENSG00000198231	1575.0	1483.0	1789.0	3095.0	2923.0	2694.0	5.401047369654016e-06	1.5577853067844385e-05
ENSG00000110048	1185.0	1344.0	1375.0	1363.0	1235.0	1205.0	5.407289125463104e-06	1.559384308771764e-05
ENSG00000177548	180.0	184.0	203.0	160.0	164.0	155.0	5.426074301432648e-06	1.5645997730853597e-05
ENSG00000129028	23.0	30.0	20.0	74.0	82.0	76.0	5.4952331021926165e-06	1.5843371711353166e-05
ENSG00000169410	569.0	549.0	612.0	571.0	595.0	535.0	5.517946982893913e-06	1.5906806143799057e-05
ENSG00000152192	0.05	1.0	1.0	13.0	10.0	24.0	5.578492536215865e-06	1.6077367809673115e-05
ENSG00000090372	855.0	806.0	981.0	1564.0	1723.0	1558.0	5.578552378225504e-06	1.6077367809673115e-05
ENSG00000213523	317.0	289.0	323.0	281.0	312.0	266.0	5.5889837742877625e-06	1.6105354017280286e-05
ENSG00000169184	561.0	358.0	418.0	325.0	116.0	197.0	5.595229872345162e-06	1.612127410486041e-05
ENSG00000028528	772.0	771.0	847.0	855.0	757.0	756.0	5.599622433643457e-06	1.6131850267452666e-05
